CODIGO_CA,COMUNIDAD_AUTONOMA,Codigo Provincia,PROVINCIA,NUMERO_INSCRIPCION,Codigo Municipio,DENOMINACION,FECHA_INSCRIPCION,SUPERFICIE,HABITANTES,DENSIDAD,CAPITALIDAD,ANOTACION
1,Andalucía,13389,Huelva,1210353,8486,Gibraleón,18/08/86,"328,33",12607,"38,4",Gibraleón," 
 "
1,Andalucía,13389,Huelva,1210366,8487,"Granada de Río-Tinto, La",22/09/86,"44,7",239,"5,35","Granada de Río-Tinto, La", 
1,Andalucía,13389,Huelva,1210372,8488,"Granado, El",21/08/86,"97,55",516,"5,29","Granado, El", 
1,Andalucía,13389,Huelva,1210388,8489,Higuera de la Sierra,09/12/86,"24,48",1287,"52,57",Higuera de la Sierra, 
1,Andalucía,13389,Huelva,1210391,8490,Hinojales,05/02/87,"26,71",325,"12,17",Hinojales, 
1,Andalucía,13389,Huelva,1210405,8491,Hinojos,18/09/86,"319,88",3976,"12,43",Hinojos, 
1,Andalucía,13389,Huelva,1210412,8492,Huelva,29/09/86,"152,03",143663,"944,96",Huelva," 
 "
1,Andalucía,13389,Huelva,1210427,8493,Isla Cristina,01/10/86,"49,36",21264,"430,79",Isla Cristina, 
1,Andalucía,13389,Huelva,1210433,8494,Jabugo,22/09/86,"24,92",2250,"90,29",Jabugo, 
1,Andalucía,13389,Huelva,1210448,8495,Lepe,22/09/86,"127,94",27431,"214,41",Lepe, 
1,Andalucía,13389,Huelva,1210451,8496,Linares de la Sierra,04/09/86,"29,22",263,9,Linares de la Sierra, 
